GeneID	GSM8252622	GSM8252623	GSM8252624	GSM8252625	GSM8252626	GSM8252627	GSM8252628	GSM8252629
100287102	0.5729	2.096	0.5675	0.2978	2.168	1.979	0.5175	0.5748
653635	12.31	34.9	12.72	10.85	45.89	41.7	9.545	12.35
102466751	6.96	38.19	6.893	7.234	35.11	42.75	3.143	13.96
107985730	0	1.609	0	0.9144	1.109	1.351	0	0
100302278	0	0	0	0	0	0	0	0
645520	0.2094	0.766	0	0.4353	1.585	0.6431	0.1891	0
79501	0	0.9429	0	0	0.6502	1.187	0	0.2586
100996442	0.6286	1.238	0.3352	0.201	1.464	1.114	0.3057	0.291
729737	1.167	2.899	0.8991	0.719	2.726	2.655	0.6638	0.6071
102725121	0.589	1.257	0.4375	0.9184	1.114	2.035	0.399	0.2954
102723897	11.42	31.78	11.45	8.381	43.38	39	10.2	12.27
102465909	6.96	42.43	10.34	7.234	35.11	32.06	3.143	10.47
107985721	0.08745	0.6397	0.08661	0.1818	0.4411	0.6714	0.07898	0
112268260	0.1077	0.2626	0.0711	0.07462	0.2716	0.1653	0.06484	0.07201
729759	0.252	0.3073	0	0	0	0.7739	0.4552	0
100132287	2.653	6.866	2.038	1.914	6.01	6.652	1.272	1.467
105378947	0	0	0	0	0	0	0	0
101928626	0	0	0	0	0	0	0	0
113219467	1896	1825	1594	1116	1471	936.5	1270	1929
81399	0.1638	0.7487	0.1622	0.08511	0.8261	0.7543	0.1849	0.08214
100133331	2.547	6.684	1.536	2.187	5.168	6.888	1.401	1.611
107984841	4.6	14.96	4.556	3.188	16.76	14.52	1.385	2.307
107984847	8.294	26.17	5.316	7.1	32	19.48	3.966	4.895
107984849	5.916	8.243	4.185	1.757	12.79	12.98	1.527	1.696
100288069	5.696	19.99	4.786	4.306	19.16	18.29	4.209	3.463
105378580	2.947	7.468	2.235	1.723	7.435	7.85	2.288	1.525
400728	10.95	14.99	6.39	8.351	11.05	7.476	2.199	3.419
79854	4.312	8.325	4.449	1.868	16.32	15.73	3.246	4.686
643837	13.1	17.06	9.316	8.898	11.12	10.51	4.838	6.582
107984850	0.09643	0.4703	0	0	0	0	0	0.1935
284593	0.2774	0.3382	0.1374	0	0.3499	0.213	0.1253	0.1391
284600	1.533	8.301	1.822	1.02	4.022	3.39	0.6648	0.7999
100130417	2.2	7.471	1.089	0.6533	5.549	5.067	1.135	1.103
