Geneid	C2_1Aligned.sortedByCoord.out.markDups	C1_1Aligned.sortedByCoord.out.markDups	K2_1Aligned.sortedByCoord.out.markDups	K1_1Aligned.sortedByCoord.out.markDups	C3_1Aligned.sortedByCoord.out.markDups	K3_1Aligned.sortedByCoord.out.markDups
A1BG	47	47	76	47	39	82
A1CF	0	0	0	0	0	2
A2M	358	386	989	649	595	1452
A2ML1	0	0	0	0	0	0
A3GALT2	5	0	0	0	0	3
A4GALT	0	0	0	0	0	0
A4GNT	1	0	0	3	0	0
AAAS	919	985	905	1320	857	1480
AACS	326	318	332	362	357	524
AADAC	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0
AADAT	0	0	0	0	0	0
AAED1	508	482	477	637	679	776
AAGAB	681	774	694	905	764	1148
AAK1	1141	912	862	1048	1268	1631
AAMDC	67	65	35	72	57	106
AAMP	1742	1804	1716	2106	1947	2752
AANAT	0	0	1	1	0	4
AAR2	668	717	662	806	785	1167
AARD	0	0	0	0	0	0
AARS	4675	5221	4537	6586	5038	8335
AARS2	1659	1469	1545	1803	1705	2655
AARSD1	83	52	60	62	92	117
AASDH	218	258	235	299	269	470
AASDHPPT	902	1018	1088	1323	1096	1759
AASS	0	0	0	0	0	0
AATF	1487	1738	1578	1973	1814	2743
AATK	22	4	35	28	22	68
AATK-AS1	0	0	0	0	0	0
ABAT	238	194	169	205	253	303
ABC13-47488600E17.1	18	18	22	28	21	34
ABC7-42404400C24.1	0	0	0	0	0	0
ABCA1	184	151	167	227	302	466
ABCA10	3	3	3	5	5	12
ABCA12	0	0	0	0	1	0
ABCA13	0	0	0	0	0	0
ABCA2	7218	6458	5674	7381	7411	10879
ABCA3	11	2	8	3	11	10
ABCA4	0	0	0	0	0	0
ABCA5	7	2	15	8	9	16
ABCA6	142	85	110	98	174	266
ABCA7	2073	1557	1769	1702	2482	3250
ABCA8	8	4	3	2	1	1
ABCA9	101	68	53	52	109	131
ABCB1	0	0	0	0	0	0
ABCB10	1950	1982	2032	3134	1903	4306
ABCB11	6	4	0	1	7	8
ABCB4	0	0	1	1	2	0
ABCB5	0	0	0	0	0	0
ABCB6	3	7	3	0	9	18
ABCB7	770	844	800	1087	901	1357
ABCB8	919	873	862	1066	1014	1362
ABCB9	198	150	174	157	245	252
ABCC1	726	705	826	888	896	1523
ABCC10	947	663	908	1085	1072	1662
ABCC11	0	2	3	7	6	12
ABCC12	0	0	0	0	0	0
ABCC2	92	64	66	73	90	150
ABCC3	0	0	0	0	0	5
ABCC4	397	393	454	635	394	816
ABCC5	452	376	570	543	600	883
ABCC6	485	424	427	468	647	794
ABCC8	0	0	0	0	0	0
ABCC9	0	0	0	0	0	0
ABCD1	300	300	296	343	368	584
ABCD2	2	6	1	8	15	6
ABCD3	700	810	743	1036	917	1359
ABCD4	553	446	399	588	584	763
ABCE1	3213	3590	3300	4760	3619	6311
ABCF1	2833	2841	2906	3418	3468	5250
ABCF2	1581	1663	1705	2193	1677	2889
ABCF3	1235	1132	1226	1522	1463	2340
ABCG1	0	0	0	0	0	0
ABCG2	0	0	0	0	0	0
ABCG4	0	3	1	3	2	2
ABCG5	0	0	0	3	3	0
ABCG8	0	0	0	0	0	0
ABHD1	2	1	4	2	5	5
ABHD10	431	462	483	607	441	684
ABHD11	356	341	370	420	366	466
ABHD12	1207	1107	1600	1656	1491	2519
ABHD12B	1	2	0	0	1	3
ABHD13	484	504	474	662	537	803
ABHD14A	49	52	44	59	77	74
ABHD14A-ACY1	0	2	1	0	0	0
ABHD14B	1260	1285	1250	1711	1424	2249
ABHD15	831	884	722	901	1024	1248
ABHD16A	34	27	24	41	44	35
ABHD16B	19	12	9	14	18	24
