Gene,Pat3.Myeloid,Pat1.Myeloid,Pat2.Myeloid,Pat5.Myeloid,MS2.Myeloid,MS4.Myeloid,MS5.Myeloid
MED6,3.708,2.512,3.167,3.554,3.703,3.974,2.723
NAALAD2,0,1.122,1.176,0.3862,0,0,0
ACOT8,2.685,0.6671,2.379,1.912,1.767,2.562,2.723
GNPDA1,3.708,4.22,3.766,3.476,4.338,4.888,5.698
SNHG8,4.467,4.47,3.674,4.623,4.156,4.763,4.46
SRA1,2.933,2.355,3.47,3.889,3.038,3.198,3.766
ZGLP1,1.771,0,1.176,1.156,0,0,1.264
TMPO-AS1,1.491,1.122,1.176,0.9417,0,0,0.5528
OST4,5.146,4.581,4.965,4.623,5.468,6.122,6.575
ATE1-AS1,,,,,,,
ZNF316,3.493,2.179,2.595,2.706,2.538,2.914,2.822
SRP14-AS1,2.815,2.782,2.491,2.319,3.947,2.094,0.9515
LINC00271,0.6812,0,0,0,0,0,0
ZNF717,2.933,2.355,1.978,2.563,0,2.562,2.723
TEKT4P2,,,,,,,
UBE2Q2P2,,,,,,,
HDAC5,4.467,3.459,4.566,3.554,3.038,3.815,3.434
PDCD6,3.773,4.22,3.674,4.084,3.408,3.434,3.995
ZFHX4-AS1,0,0,0,0,0,0,0
FLJ16779,0.6812,0,0,0,0,0,0
GNE,5.513,5.181,4.865,5.354,7.134,5.208,3.37
MED16,2.385,1.745,3.167,1.507,0,2.562,1.738
ADPGK-AS1,0.6812,0,0,0,0,0,0
LINC00173,1.771,3.534,2.949,3.065,3.947,1.398,0.9515
LINC00624,0,1.122,0,0,0,0,0
DNAJC3-AS1,1.491,2.355,2.868,2.227,0,0,1.52
TMED11P,,,,,,,
HMGXB4,3.773,4.077,3.934,3.796,3.408,4.047,3.664
FAM21EP,,,,,,,
TOM1,3.493,2.512,3.524,3.515,0,3.974,4.882
SH2D3A,0,0,0,0,0,1.788,0.5528
MAMLD1,0,0,0,0,0,0.8619,0
LINC00276,1.142,1.978,0.8798,0,4.156,0,0
FGD5-AS1,5.017,5.181,4.735,4.471,4.778,5.003,4.398
MIR4458HG,2.006,0,0.8798,0.9417,0,1.398,1.264
SPATA1,,,,,,,
MAGI2-AS3,1.491,1.745,1.422,3.796,4.899,2.347,0.9515
PPP5D1,0.6812,0.6671,0,0.3862,1.767,0.8619,0
GAS5-AS1,0,0.6671,0,1.156,0,1.398,0
RAB30-AS1,2.543,3.01,2.692,2.405,1.767,1.398,2.094
OTUD6B-AS1,3.568,4.025,3.852,3.697,4.338,3.729,3.553
SLC16A1-AS1,4.784,5.397,5.294,5.397,6.566,4.927,4.332
CBR3-AS1,1.142,3.111,2.783,2.772,2.538,2.094,1.927
DDX11-AS1,0,0,0.5059,0,0,0,0
MYLK-AS1,0.6812,0,0.5059,0,0,0,0
PTPRG-AS1,0,0.6671,1.176,0,1.767,0,0
PSMD6-AS2,2.385,1.467,1.816,2.636,1.767,1.788,1.738
SNHG19,1.771,1.745,0.5059,1.655,1.767,0.8619,0.5528
LRP4-AS1,0,0,0.5059,0,0,0,0
CPB2-AS1,3.953,3.459,3.625,2.955,5.815,3.063,1.52
RBM14-RBM4,,,,,,,
TMPRSS4-AS1,,,,,,,
CAHM,2.208,2.512,3.025,2.319,3.038,0.8619,0.5528
FPGT-TNNI3K,2.208,2.355,1.632,2.486,0,0.8619,1.52
TMEM56-RWDD3,0,0.6671,0,0,0,0,0
CHURC1-FNTB,0,0,0.5059,0.3862,0,0,0.5528
ZHX1-C8orf76,0.6812,1.745,0.8798,0.3862,0,0,0.5528
SEC24B-AS1,1.491,0.6671,0.5059,1.156,0,0.8619,0.9515
SAE1,2.385,2.179,2.491,2.896,1.767,2.914,3.716
FARSB,3.836,3.206,3.025,3.215,4.156,3.815,3.716
ABCC5,3.24,4.431,3.47,3.918,4.778,4.422,5.395
ABCF2,2.815,2.512,2.595,2.896,1.767,2.914,2.822
NR1H3,1.771,0.6671,1.176,1.789,0,3.198,4.904
DIO2-AS1,0.6812,1.122,0,0,2.538,0,0
FAM47E-STBD1,,,,,,,
SCAMP2,7.614,6.925,7.368,6.997,6.239,6.252,6.37
SCAMP3,4.617,3.605,4.432,4.185,4.899,4.528,4.949
CDH9,0,0,0.5059,0,0,0,0
PDCD7,4.112,4.265,4.011,4.004,4.646,4.627,3.815
USH1C,0,0,0,0,3.703,0,0
PQBP1,3.33,2.355,2.783,3.515,1.767,3.815,3.37
EDIL3,0.6812,0.6671,0,0,6.094,1.398,1.264
ZRANB2-AS2,0.6812,0,0.5059,0,0,1.398,0
HEIH,2.385,2.179,2.692,3.011,3.408,3.063,3.37
IPO9-AS1,,,,,,,
GPC5-AS1,,,,,,,
DGUOK-AS1,0,1.122,1.176,0.6905,0,1.398,0
PCDH9-AS2,,,,,,,
PCDH9-AS4,0,0,0,0,0,0,0
SLC6A1-AS1,,,,,,,
STEAP2-AS1,,,,,,,
FRMD6-AS2,,,,,,,
CLDN10-AS1,,,,,,,
UGDH-AS1,8.045,9.522,7.897,6.452,12.31,6.851,5.617
