GeneID	GSM4703735	GSM4703736	GSM4703737	GSM4703738	GSM4703739	GSM4703740	GSM4703741	GSM4703742	GSM4703743	GSM4703744	GSM4703745	GSM4703746
100287102	0.07359	0.08923	0.135	0.0739	0.1206	0.04397	0.06222	0.08487	0.04134	0.04136	0	0.1366
653635	2.611	2.458	3.372	1.863	1.952	2.176	2.789	2.734	2.741	1.777	2.244	2.296
102466751	2.682	2.168	4.099	0.8977	0.9767	1.068	3.023	2.062	2.008	1.005	0.957	1.106
107985730	0	0	0	0	0	0	0	0	0	0	0	0
100302278	0	0	0	0	0	0	0	0	0	0	0	0
645520	0	0	0	0	0.05877	0.06428	0	0	0	0.06046	0	0.06657
79501	0	0	0	0	0.07235	0	0	0	0	0.07442	0	0.1639
100996442	0.1242	0.06024	0.1367	0.1247	0.1628	0.1187	0.09451	0.0573	0.06977	0.1256	0.1596	0.1845
729737	0.05552	0.02693	0.03055	0.04461	0.06066	0.07962	0.06572	0.05122	0.1123	0.02496	0.03566	0.04123
102725121	0	0.1376	0.1041	0	0.08266	0	0.03198	0.04362	0.04249	0	0	0.04681
102723897	2.968	2.595	2.817	1.976	2.187	2.186	2.919	2.747	3.025	1.901	2.217	2.093
102465909	1.788	1.084	2.459	0.8977	0	2.136	1.512	2.062	2.008	1.005	0.957	1.106
107985721	0	0.05448	0	0	0	0	0	0	0	0	0	0
112268260	0.03688	0.02236	0.04228	0.03704	0.08059	0.05509	0.03898	0.02127	0.02072	0.02073	0.06909	0.06846
729759	0	0	0	0	0	0	0	0	0	0	0	0
100132287	0.1391	0.1181	0.1786	0.1117	0.1368	0.1496	0.1882	0.1925	0.2344	0.1094	0.1191	0.1894
105378947	0	0	0	0	0	0	0	0	0	0	0.02777	0
101928626	0	0	0	0	0	0	0	0	0	0	0	0
113219467	398.1	354	376.9	277.7	296.5	327.4	351.8	372.2	397.2	342.6	328.1	342.2
81399	0.03155	0.01275	0.02893	0.04224	0.03447	0.02514	0.01778	0.03638	0.01181	0.02364	0.02252	0.03904
100133331	0.2276	0.1552	0.2609	0.2	0.1865	0.153	0.2045	0.2133	0.2717	0.1119	0.1828	0.2993
107984841	0.5251	0.2388	0.3612	0.3955	0.2869	0.2353	0.444	0.4542	0.1475	0.07378	0.1405	0.2437
107984847	0.752	1.216	1.149	0.2517	0.5477	0.7489	1.378	0.5781	1.126	0.7043	1.073	0.9306
107984849	0.2171	0.2632	0.7964	0	0.2372	0	0.1836	0.2504	0	0	0.2324	0
100288069	0.8424	0.5914	0.6506	0.5343	0.3391	0.3709	0.4873	0.5113	0.6973	0.6977	0.4747	0.4938
105378580	0.07098	0.04304	0.1085	0.08317	0.1422	0.09897	0.09003	0.05457	0.06645	0.09308	0.114	0.1464
400728	0.06253	0.1137	0.08603	0.0628	0.03416	0.03737	0.1058	0.2524	0.1405	0.1054	0.06695	0.0387
