GeneID	GSM3937529	GSM3937530	GSM3937531	GSM3937532	GSM3937533	GSM3937534	GSM3937535	GSM3937536	GSM3937537	GSM3937539	GSM3937540	GSM3937541	GSM3937542	GSM3937543	GSM3937544
100287102	0.1759	0.2234	0	0.1446	0.119	0.3072	0.1198	0.1562	0.5653	0.3436	0.4964	0.8758	0.7539	0.829	0.5854
653635	19.47	22.22	20.98	18.23	19.45	20.51	21.04	20.13	36.37	48.13	48.86	44.33	39.89	43.58	42.23
102466751	12.82	13.57	6.739	10.54	11.56	7.463	8.734	12.65	35.1	41.73	28.95	38.3	33.58	46.03	39.11
107985730	0	0.343	0	0	0	0.4717	0	0.1599	0.1929	0	0	0.5379	0.3858	0	0.4494
100302278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79501	0	0	0	0	0	0	0	0	0.113	0	0	0	0	0	0
100996442	0.386	0.4525	0.6087	0.3905	0.4419	0.5185	0.5259	0.6153	1.421	2.126	1.877	1.774	1.357	1.759	1.581
729737	1.062	1.045	1.046	0.8729	0.7901	0.9735	0.9403	1.022	4.967	7.811	7.101	5.498	4.702	6.576	6.272
102725121	0	0.1148	0	0	0	0	0	0.05354	0.452	0.1177	0.5103	0.9003	0.9042	0.7305	0.7523
102723897	21.7	25.57	21.6	19.13	22.55	22.91	23.27	22.91	38.71	49.85	52.25	46.67	41.49	47.55	45.86
102465909	8.548	8.142	6.739	7.027	11.56	11.19	5.822	8.856	21.36	30.6	24.12	25.53	27.47	34.53	32
107985721	0.0537	0	0	0	0	0.09377	0.07316	0.03179	0.0767	0.06991	0.1212	0.1069	0.1534	0.1446	0.1787
112268260	0.08816	0.05598	0.2085	0.1087	0.02982	0.1155	0.09008	0.1044	0.2833	0.4017	0.2239	0.2195	0.1259	0.2967	0.2567
729759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100132287	1.895	1.9	1.835	1.64	1.575	1.742	1.903	1.693	9.237	13.2	12.46	10.33	8.55	11.46	11.45
105378947	0	0	0	0.102	0	0.1083	0	0.07344	0.08858	0	0	0.1235	0.08859	0.0835	0.1032
101928626	0.1821	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113219467	2849	2423	2401	2069	2282	2316	3477	3293	2514	2006	1760	3269	3330	2968	3038
81399	0.02514	0	0.03964	0	0.03401	0.0439	0.03425	0.02977	0.08977	0.1309	0.08513	0.1001	0.07182	0.1015	0.1255
100133331	1.632	1.641	1.609	1.454	1.334	1.841	1.992	1.711	9.325	14.12	13.7	10.29	8.258	11.68	12.51
107984841	2.04	1.794	2.722	1.032	1.062	2.466	2.138	2.23	11.99	18.39	14.35	13.44	10.09	12.89	14.36
107984847	2.996	2.664	4.252	1.478	4.459	3.139	4.49	2.838	21.82	25.35	23.67	17.9	16.69	18.15	23.43
107984849	2.595	1.318	1.637	1.706	1.404	3.625	2.828	1.536	12.97	14.86	11.72	10.33	11.12	9.782	12.95
100288069	1.59	1.211	0.8357	0.697	0.717	0.9254	1.444	0.9413	8.023	10.49	8.853	9.287	7.116	8.848	6.702
105378580	0.5091	0.4669	0.446	0.465	0.3061	0.4939	0.3468	0.3349	0.6261	1.289	0.8619	0.8448	0.808	0.8377	0.7059
400728	0.2242	0.2848	0.2357	0.2458	0	0.1305	0.2037	0.08851	0.2669	0.09732	0.3375	0.1489	0.3203	1.107	0.8706
79854	1.214	1.541	0.8699	1.27	0.7464	1.541	1.203	0.8492	1.733	1.436	1.993	1.538	1.734	1.931	1.836
