GeneID	GSM7869894	GSM7869898
100287102	0.06031	0.1355
653635	30.36	32.15
102466751	26.37	27.99
107985730	0.3704	0.2081
100302278	0	0.8113
645520	0	0
79501	0.5426	0
100996442	3.42	2.036
729737	0.6006	0.6954
102725121	0	0.06967
102723897	28.34	30.96
102465909	17.58	16.46
107985721	0.1473	0.2069
112268260	0.544	0.3057
729759	0	0
100132287	2.485	1.922
105378947	0.2976	0.04779
101928626	0	0
113219467	617.4	1148
81399	0.1034	0.1356
100133331	2.611	1.572
107984841	2.475	1.814
107984847	4.108	2.078
107984849	2.135	0.7997
100288069	5.014	4.002
105378580	1.086	0.6101
400728	0.5637	1.094
79854	1.891	1.53
643837	1.435	2.195
107984850	0	0
284593	0	0.1969
284600	0.3615	0.2322
100130417	0.3308	0
107985728	0.1366	0.03071
148398	5.65	3.24
26155	60.24	62.9
339451	7.844	9.84
84069	0.5721	1.593
84808	0.05512	0.06194
57801	2.75	1.05
9636	1963	33.22
375790	44	19.48
100288175	6.342	6.782
112267874	0.9952	0.7042
105378948	1.74	1.534
401934	0	0
54991	9.545	11
254099	0	0
406984	0	0
406983	0	0
554210	0	0
100506376	0	0
254173	0	0
8784	0.6082	0.09114
7293	1.004	0.183
51150	48.93	45.17
126792	21.95	14.21
388581	2.131	1.026
118424	22.6	22.2
101928895	0.7751	0.871
6339	0.5546	0.3299
116983	7.721	12.05
102465434	0	0
109623456	3.558	6.664
126789	10.16	13.24
54973	30.77	36.24
102465435	7.664	10.33
80772	6.356	7.4
83756	0.3314	0.2483
1855	16.84	16.65
102466740	3.377	11.39
54587	1.667	1.457
54998	83.58	76.65
81669	67.5	56.74
148413	13.79	14.54
55052	84.56	68.36
107984868	0	0
441869	0	0
105378585	0	0
643965	0	0
102724312	0	0
107985729	0	0
64856	0	0
219293	0.3094	0.2028
83858	8.058	8.699
55210	27.66	28.49
339453	0.8657	0.2432
29101	102.1	94.35
643988	3.893	9.699
105378586	2.961	5.676
142678	4.965	6.33
8510	0.6128	0.5266
984	38.59	31.87
728661	19.93	18.18
8511	0.11	0.2472
728642	50.17	37.55
9906	15.96	13.56
112268218	11.96	10.3
65220	84.19	71.72
2782	238	224
105378949	0.61	0.1523
163688	0.1331	0.2992
339456	0	0
85452	0	0
107984872	0	0
105378589	0	0
2563	0	0
105378590	0	0
105378591	0	0
5590	0.5017	0.5334
100506504	0.5566	0.5361
199990	3.302	3.212
112268219	1.38	1.802
105378593	0	0
6497	15.15	14.01
79906	0.7711	0.7763
100129534	0.4875	0.6973
11079	47.74	43.19
5192	6.092	7.169
9651	0.1004	0.141
55229	8.047	6.395
388585	0	0
115110	1.035	0.8241
8764	6.336	4.841
100996583	0.1427	0
127281	1.413	1.394
79258	0.1499	0.2359
105378597	0	0
100287898	0.01407	0.06326
105378603	0	0
105378602	0	0
105378601	0	0
112268220	0	0
107985732	0	0
105378600	0	0
105378598	0	0
107984904	0	0
105378599	0	0
140625	0	0
440556	0	0
63976	0	0
100422968	0	0
105378606	0	0
107984909	0	0
105378605	0	0
105378604	0	0.01656
27237	0.02509	0.05639
1953	0.23	0.8399
105378608	0	0
693135	0	0
105378607	0	0
127262	17.34	25.65
49856	19.39	15.79
7161	3.273	3.075
105378610	0.04604	0.5174
105378609	0	0
57212	0.07717	0.1041
148870	0	0
388588	0.1739	0
57470	19.29	16.18
9731	7.852	8.79
1677	4.082	4.257
107984910	0	0.0493
339448	9.925	10.19
100133612	0.3062	0.2868
728716	0	0
105376672	0	0
105376673	0	0
284661	0	0
105376674	0	0
105376679	0	0
107985376	0	0
55966	0	0
105376680	0	0
102724429	0	0
105376681	0	0
105376682	0	0
107984911	0	0
105376686	0	0
100616421	0	0
261734	2.337	3.336
8514	94.83	115.6
26038	0.3135	0.1023
105376687	0	0
6146	976.6	957.4
107985733	37.34	37.04
102724450	0.5271	2.666
388591	2.825	2.712
23463	19.55	19.94
148645	0	0.06819
390992	0	0
387509	0.3477	0.02299
11332	3.55	0.9134
54626	0	0
83715	0.1251	0.06393
100422975	0	0
8718	0	0
57449	0	0
79707	6.521	4.097
80835	0	0
107984912	0	0
3104	11.7	14.68
9903	14.28	8.682
107984913	0.2527	0
148479	11.46	11.27
90326	12.07	8.053
55735	40.44	40.09
100505887	0	0
110841581	0.7219	1.825
23261	1.521	1.529
105376692	0	0
102725193	0	0
101928836	0	0
105376691	0	0
105376689	0	0
9341	22.23	23.19
8863	6.046	5.36
10911	2.341	5.197
3604	2.32	1.679
11315	263.5	230.8
54206	6.086	1.968
107984915	0	0
102724539	0	0
105376695	0	0
50651	0.03905	0
473	31.43	9.8
102724552	1.436	0.1613
106632271	0	0
2023	752.7	712.7
102465436	10.07	3.774
100505975	3.789	1.252
112268261	0.01614	0
765	0	0
155184	0	0
6518	3.602	5.873
80045	0.5536	0.472
106614088	4.961	4.498
407040	4.528	9.16
102724571	1.725	0.9121
9563	5.632	9.005
80176	4.458	0.5767
100506022	0.4495	0.04592
84275	7.235	7.153
199953	3.635	3.224
107985734	1.266	1.118
105376712	0	0
5293	42.13	37.99
644997	2.077	0.4299
101929074	0.104	0
22883	39.64	29.29
56998	5.067	11.68
105376717	3.081	9.465
84328	8.098	6.195
64802	3.409	3.526
113391335	0	0
100847055	0	0
116362	0	0
10277	8.744	9.651
23095	2.657	3
105376725	0.2063	0
5226	244.5	243.5
100526739	4.305	2.106
378708	5.375	2.804
1325	0.654	1.102
1676	10.45	10.3
5195	5.715	6.628
54897	1.468	1.417
105376733	0	0
105376735	0	0
148345	2.492	4.066
23435	85	68.99
10747	6.97	2.125
6723	61.49	70.92
5394	47.78	47.13
105376736	7.878	7.009
