Gene,MOLM13_sgNT_R1,MOLM13_sgNT_R2
5S_rRNA,0,0
7SK,0.089,0.165
A1BG,0.109,0.118
A1BG-AS1,9.35,8.086
A1CF,0,0
A2M,3.217,2.463
A2M-AS1,0.025,0
A2ML1,0,0
A2ML1-AS1,0,0
A2ML1-AS2,0,0
A2MP1,0,0
A3GALT2,0,0
A4GALT,0,0
A4GNT,0,0
AAAS,54.256,58.299
AACS,7.109,7.048
AACSP1,0.022,0
AADAC,0,0
AADACL2,0,0
AADACL2-AS1,0,0
AADACL3,0,0
AADACL4,0.046,0
AADACP1,0,0
AADAT,0,0.023
AAGAB,46.026,44.263
AAK1,28.272,30.73
AAMDC,6.525,7.038
AAMP,128.41,132.816
AANAT,0,0
AAR2,73.071,73.684
AARD,0,0
AARS1,239.336,262.198
AARS1P1,0,0
AARS2,56.445,60.102
AARSD1,1.869,1.928
AASDH,12.43,11.536
AASDHPPT,65.759,65.859
AASS,0,0
AATBC,1.136,1.368
AATF,107.38,104.685
AATK,0,0.005
AB019440.1,0,0
ABALON,0,0.035
ABAT,0.818,0.694
ABBA01006766.1,0,0
ABBA01045074.1,0,0
ABBA01045074.2,0,0
ABC7-43041300I9.1,0,0
ABCA1,1.475,1.692
ABCA10,0.009,0
ABCA11P,0,0.024
ABCA12,0.008,0
ABCA13,0.027,0.021
ABCA17P,0.022,0.041
ABCA2,31.285,33.438
ABCA3,0.056,0.112
ABCA4,0,0.008
ABCA5,0.072,0.072
ABCA6,0.489,0.466
ABCA7,9.177,9.32
ABCA8,0.013,0
ABCA9,0.016,0.015
ABCA9-AS1,0,0
ABCB1,0.023,0.01
ABCB10,179.845,186.195
ABCB10P1,0,0.031
ABCB10P3,0,0
ABCB10P4,0,0
ABCB11,0.378,0.358
ABCB4,0.094,0.017
ABCB5,0,0
ABCB6,0.28,0.116
ABCB7,45.517,43.452
ABCB8,15.515,15.823
ABCB9,1.129,1.13
ABCC1,23.325,22.143
ABCC10,15.992,15.86
ABCC11,0.02,0.019
ABCC12,0,0
ABCC13,0.571,0.496
ABCC2,0.539,0.576
ABCC3,0,0
ABCC4,51.413,54.24
ABCC5,5.629,5.157
ABCC5-AS1,0,0
ABCC6,6.642,6.47
