Gene,THP1_sgNT_R1,THP1_sgNT_R2
A1BG,0.24,0.232
A1BG-AS1,4.985,5.25
A1CF,0,0.007
A2M,1.274,1.221
A2M-AS1,0.163,0.315
A2ML1,0.017,0
A2ML1-AS1,0,0
A2ML1-AS2,0,0
A2MP1,0,0
A3GALT2,0,0
A4GALT,13.505,13.208
A4GNT,0.068,0
AAAS,42.811,41.203
AACS,17.164,15.225
AACSP1,0.515,0.38
AADAC,0.037,0
AADACL2,0.024,0
AADACL2-AS1,0,0
AADACL3,0,0
AADACL4,0,0
AADACP1,0,0.035
AADAT,2.124,1.683
AAGAB,41.153,39.818
AAK1,20.342,18.859
AAMDC,11.315,12.498
AAMP,85.434,80.724
AANAT,0.027,0
AAR2,44.746,44.175
AARD,1.174,0.713
AARS1,212.623,188.999
AARS1P1,0,0
AARS2,45.137,44.131
AARSD1,2.579,2.796
AASDH,10.687,9.1
AASDHPPT,49.751,45.687
AASS,1.28,1.458
AATBC,1.541,1.363
AATF,73.403,66.644
AATK,0.406,0.363
ABALON,0,0.038
ABAT,2.733,2.353
ABBA01000933.1,0,0
ABBA01000935.2,0,0
ABBA01006766.1,0,0
ABBA01010928.1,0,0
ABBA01031658.1,0,0
ABBA01031669.1,0,0
ABBA01045074.1,0,0
ABBA01045074.2,0,0
ABCA1,10.937,9.955
ABCA10,0.143,0.119
ABCA11P,2.863,2.79
ABCA12,0,0
ABCA13,0.035,0.022
ABCA17P,0.375,0.38
ABCA2,94.333,80.949
ABCA3,6.181,4.832
ABCA4,0.007,0.008
ABCA5,3.501,2.584
ABCA6,0.123,0.086
ABCA7,11.136,9.413
ABCA8,0,0
ABCA9,0.02,0.024
ABCA9-AS1,0,0
ABCB1,0,0.044
ABCB10,185.045,152.046
ABCB10P1,0.028,0
ABCB10P3,0,0
ABCB10P4,0,0
ABCB11,1.775,1.25
ABCB4,0.754,0.684
ABCB5,0,0
ABCB6,0.842,0.659
ABCB7,31.926,27.256
ABCB8,8.416,7.795
ABCB9,2.608,2.429
ABCC1,35.176,30.888
ABCC10,12.857,11.296
ABCC11,0.108,0.158
ABCC12,0,0
ABCC13,6.997,6.774
ABCC2,0.437,0.465
ABCC3,0.212,0.223
ABCC4,16.79,14.211
ABCC5,2.939,2.394
ABCC5-AS1,0,0
ABCC6,8.412,7.417
ABCC6P1,3.431,2.685
ABCC6P2,4.239,4.045
ABCC8,0,0
ABCC9,0.01,0
ABCD1,39.941,37.43
ABCD1P2,0,0
ABCD1P3,0,0
ABCD1P4,0.099,0
ABCD1P5,0,0
ABCD2,1.442,1.045
ABCD3,51.907,47.135
ABCD4,7.5,6.644
ABCE1,133.967,120.334
ABCF1,57.476,52.978
ABCF2,85.173,80.972
ABCF2P1,0.097,0.077
ABCF2P2,0,0
ABCF3,34.089,31.849
ABCG1,0.039,0.012
ABCG2,0.021,0.025
ABCG4,0.048,0.034
ABCG5,0,0
ABCG8,0,0
ABHD1,0.311,0.309
ABHD10,41.19,38.283
ABHD11,21.781,22.528
ABHD11-AS1,1.452,1.187
ABHD12,52.518,51.601
ABHD12B,0,0
ABHD13,12.719,10.727
ABHD14A,12.731,13.005
ABHD14A-ACY1,0.088,0.06
ABHD14B,38.918,36.671
ABHD15,53.772,49.844
ABHD15-AS1,0,0
ABHD16A,6.038,6.141
ABHD16B,0.081,0
ABHD17A,24.765,24.687
ABHD17AP1,0.258,0.536
ABHD17AP3,0,0
ABHD17AP4,0.132,0.157
ABHD17AP5,5.271,4.798
ABHD17AP6,16.168,18.266
ABHD17AP7,0,0.12
ABHD17AP8,0,0
ABHD17AP9,0,0
ABHD17B,43.645,37.678
ABHD17C,20.41,20.282
ABHD18,19.032,17.038
ABHD2,41.817,36.86
ABHD3,30.456,26.398
ABHD4,1.978,1.948
ABHD5,9.234,8.422
ABHD6,6.069,5.492
ABHD8,36.23,38.849
ABI1,61.136,52.914
ABI1P1,0,0
ABI2,6.958,6.304
ABI3,0.106,0.063
ABI3BP,0.109,0.091
ABITRAM,28.452,24.58
