GeneID	GSM7510191	GSM7510192	GSM7510193	GSM7510194	GSM7510195	GSM7510196	GSM7510197	GSM7510198	GSM7510199	GSM7510200	GSM7510201	GSM7510202
100287102	0.107	0	0.06326	0	0	0	0.105	0	0.07061	0	0.08011	0
653635	9.339	15.37	14.95	14.73	14.83	8.943	9.023	9.197	16.49	12.65	14.89	15.3
102466751	1.299	10.52	4.611	3.317	6.429	9.306	1.276	1.329	13.72	13.1	11.68	11.71
107985730	0	0	0.1943	0	0	0	0	0	0	0	0	0
100302278	0	0	0	0	0	0	0	0	0	0.8071	0	0
645520	0.07818	0.09046	0	0.09981	0	0.16	0	0.07999	0	0	0	0
79501	0	0	0	0	0	0	0	0	0	0	0	0
100996442	0.01805	0.06266	0.04271	0.1383	0.134	0.03695	0.05318	0.05541	0.09534	0.06827	0.1082	0.122
729737	0.4842	0.4668	0.3246	0.3915	0.3993	0.6606	0.7132	0.5779	1.215	0.7121	0.4593	0.3091
102725121	0.11	0	0.06503	0	0	0	0	0	0.07259	0	0.08235	0
102723897	10.39	15.09	16.5	14.28	13.72	9.6	8.079	8.675	14.97	12.65	13.9	14.07
102465909	0	3.006	3.074	6.634	4.822	2.659	1.276	0	6.862	6.551	5.838	5.854
107985721	0.0653	0	0	0	0	0	0.03206	0	0	0	0	0
112268260	0.0134	0.04651	0.0317	0.06843	0.01658	0.02742	0.05263	0.04113	0.1592	0.08446	0.04014	0.03019
729759	0	0	0	0	0	0	0	0	0	0.1186	0	0
100132287	1.435	0.959	1.052	1.136	1.175	1.386	1.529	1.51	2.189	1.478	1.272	0.8199
105378947	0	0	0	0	0	0	0.03703	0.03858	0	0.04754	0	0.04248
101928626	0	0	0	0	0	0	0	0	0	0	0	0
113219467	118.2	390.1	368	295.5	314	105.7	94.08	123.5	302.3	315.3	244.2	308.4
81399	0	0.01768	0	0	0	0	0.01501	0	0	0	0	0
100133331	1.282	1.531	1.027	1.267	1.304	1.756	1.502	1.883	3.085	1.929	1.641	1.234
107984841	2.099	1.987	1.467	2.314	1.534	1.269	1.967	1.659	3.149	2.887	1.143	1.182
107984847	3.461	1.054	2.37	0.9302	2.254	2.237	4.293	1.118	3.367	6.2	1.364	1.847
107984849	0.3155	0.3651	0.7465	2.014	0.7807	1.614	0.9295	0.9685	4.166	1.989	0.9453	0.7109
100288069	1.482	0.9692	0.1525	1.645	0.7175	1.121	0.696	0.8571	1.872	2.843	1.158	0.5807
105378580	0.1032	0.1194	0.2848	0.1317	0.1489	0.4223	0.3715	0.1056	0.2724	0.3468	0.1288	0.3874
400728	1.409	0.8413	0.5376	2.031	1.968	2.279	3.035	1.813	1.5	2.177	1.361	0.4607
79854	0.4025	0.7761	0.7935	1.456	0.7469	0.4805	0.9881	0.6863	2.569	1.607	1.206	1.814
643837	6.114	3.166	3.407	11.47	8.582	6.394	5.215	5.619	5.445	5.549	6.278	6.457
107984850	0	0	0	0	0	0.1105	0	0	0	0.04539	0.05393	0
284593	0	0.05992	0	0.2644	0	0.106	0.1017	0	0	0	0	0
284600	0.0458	0.05299	0.1625	0.05847	0.34	0.3281	0.1574	0.09372	0.7861	0.1732	0.2744	0.07739
100130417	0.2933	0.1357	0.694	0.07489	0.07257	0.1201	0.1152	0.5402	0.3873	0.4437	1.845	0.6608
107985728	0.5816	0.2243	0.3726	0.03093	0.1199	0.124	0.09518	0.02479	0.16	0.1527	1.161	0.8735
148398	13.82	12.83	10.59	10.94	11.93	10.57	12.11	12.73	14.64	9.147	17.49	11.4
26155	157.9	138.2	122.1	163.5	170.3	168.1	168.9	156.6	142.8	125.9	165.2	133.4
339451	6.416	8.703	7.654	7.537	6.47	5.904	6.512	5.241	12	7.817	8.077	5.436
84069	1.721	4.339	3.21	1.971	2.129	2.506	2.188	2.483	5.243	3.504	3.668	2.236
84808	0.2688	0.6503	0.7227	0.3432	0.393	0.3001	0.456	0.5501	0.5486	0.5238	0.4393	0.5506
57801	3.635	5.537	4.3	2.115	1.822	3.955	6.687	3.39	1.701	0.4641	3.239	2.333
9636	88.07	79.75	59.88	39.13	44.78	160.2	164.4	67.97	59.33	48.08	568.8	474.2
375790	110.1	184.2	146.9	107.3	104.5	110	94.64	93.71	169.4	140	92.78	67.03
100288175	8.073	9.235	8.906	8.685	9.201	9.003	12.56	10.12	4.311	4.688	12.09	11.34
112267874	0.7844	1.55	0.8893	1.377	0.8087	0.8362	1.091	0.9363	0.4747	0.7005	0.9302	0.7732
105378948	2.481	2.52	2.577	2.472	2.695	2.539	3.417	2.724	1.358	1.221	3.308	3.204
401934	0.093	0.0538	0	0.2374	0	0.2855	0.04566	0.333	0	0	0	0
54991	8.319	15.47	12.63	12.29	13.12	9.628	9.346	8.139	14.77	13.78	14.47	11.13
254099	0	0	0	0	0	0	0	0	0	0	0	0
406984	0	0	0	0	0	0	0	0	0	0	0	0
406983	0	0	0	0	0	0	0	0	0	0	0	0
554210	0	0	0	0	0	0	0	0	0	0	0	0
100506376	0	0	0	0	0	0	0	0	0	0	0	0
254173	0	0	0	0	0	0	0	0	0	0	0	0
8784	0.03596	0	0	0	0	0.0368	0.03531	0.1104	0.09495	0.09066	0.05386	0.04051
7293	0	0.02784	0	0	0.08932	0	0.02363	0	0	0	0.03605	0
51150	140.7	143.8	132	135.5	141.7	141.1	120	140	156.7	141.3	136.6	113.9
126792	14.77	39.21	33.31	26.22	29.85	24.72	29.13	27.33	40.92	33.55	35.15	32.46
388581	0.7424	0.3904	0.3992	0.3446	0.0835	3.246	2.651	0.8286	0.7129	0.2553	0.4044	0.5322
